Group Name~`,Group Type~`,Category~`,Mission~`,Keywords~`,Link~`
Pre Occupational Therapy Club~`,General Student Organization~`,"Academic & Pre-Professional, Commmunity Service & Engagement~`","The Pre-Occupational Therapy Club at DePaul University aims to provide an inclusive support network for students of any major and college who are interested in the Occupational Therapy (OT) profession through expanding students’ knowledge of OT. This organization will provide learning experiences regarding the discipline of OT, areas of practice within OT, process of applying to graduate school, and advocacy for the field of OT within the DePaul University and urban community environment. The Pre-Occupational Therapy Club at DePaul University will engage in mutually beneficial events and maintain a relationship with the DePaul University Master of Science in Occupational Therapy (MSOT) program.~`","Pre Occupational Therapy, Occupational Therapy~`",https://dehub.depaul.edu/PreOTClub/club_signup~`
Pre-Health Student Network~`,General Student Organization~`,Academic & Pre-Professional~`,"The mission of PHSN is to foster a community of students either studying pre-health or considering pre-health by providing events and functions where social interactions are available to facilitate peer-to-peer mentoring in an effort to improve academic success, career development, and personal growth.~`","Health, Pre-Health~`",https://dehub.depaul.edu/PHSN/club_signup~`
Pre-Med Pals~`,General Student Organization~`,"Academic & Pre-Professional, Commmunity Service & Engagement~`","It is the mission of this organization to serve all DePaul students who are interested in or are already on the pre-healthcare track. We will work with students to provide them with the most essential information needed to help them on their pre-health journey. We also facilitate a great community base for students who share interests and career aspirations, and who can seek counsel and advice from each other. We serve these pre-health students through socially responsible leadership and the Vincentian values. We seek to facilitate student involvement, student engagement, and leadership development with the purpose of increasing DePaul affinity. We believe in human dignity and the power of community.~`","Pre-Med, Pre-Health~`",https://dehub.depaul.edu/PMP/club_signup~`
PROpel DePaul~`,General Student Organization~`,Academic & Pre-Professional~`,"This organization aims to serve as a group where students interested in entering the fields of Product and Project Management can network with one another and with outside professionals, with the goal of furthering the career development of aspiring product and project managers studying at DePaul University. We are open to students from any major, especially those in business, technology, and IT-related fields of study.~`",Product and Project Management~`,https://dehub.depaul.edu/promanager/club_signup~`
Psi Chi - The International Honor Society of Psychology~`,General Student Organization~`,"Academic & Pre-Professional, Honorary~`","The purpose of the DePaul University chapter of Psi Chi – International Honor Society in Psychology is to create a community of psychology students, encourage participation in psychological scholarship, prepare DePaul students for graduate school or careers in psychology, and to serve our community outside of the university. We seek to serve a community of psychology students. We encourage and promote scholarship opportunities for members in which they are gaining real-world, collaborative, and social justice-oriented experiences, which is aligned with DePaul’s mission and values.~`",Psychology~`,https://dehub.depaul.edu/psichi/club_signup~`
Public Interest Law Association~`,Law Student Organization~`,Law~`,"PILA seeks to communicate to law students the needs of the underrepresented and the ways legal training can be used to effect justice in our community and the world. PILA provides law students with networking opportunities in the area of public interest law and serves as a conduit for law students to learn about different areas of public interest law. PILA raises money for summer stipends, which it awards to students who work pro bono in the public interest~`",Public Interest Law~`,https://dehub.depaul.edu/PILA/club_signup~`
Radio DePaul Sports~`,General Student Organization~`,Media & Publications~`,"As an organization built on culture and passion, Radio DePaul Sports supports building the human & professional development of all its staff members. The organization does this by continued commitment to networking, exposure, and hands-on work within our downtown Chicago state street studio at DePaul University. RDPSports prepares its members to be successful in the sports media world through real world experience, community engagement, and insightful sports communication.
 
 Since its founding in 2016, Radio DePaul Sports has remained dedicated to producing exceptional sports content across local and national topics. RDPSports, the student voice of your DePaul Blue Demons, brings passionate and informed sports discussion involving listeners and media professionals guided by an ethnic of Vincentian personalism and professionalism.~`","Radio, Sports Media~`",https://dehub.depaul.edu/radiodepaul/club_signup~`
Sales Leadership Society~`,General Student Organization~`,Academic & Pre-Professional~`,"The Sales Leadership Society is committed to supporting the individual ambitions of students and providing unique resources to enable their success. The Sales Leadership Society, in collaboration with the Center for Sales Leadership, offers engaging class, self-development programs, and an extensive community of alumni, partners, and peers that prepare students to write their own exceptional stories in a rapidly changing world.~`","Sales, Sales Leadership, Business~`",https://dehub.depaul.edu/Sales/club_signup~`
Security Daemons~`,General Student Organization~`,Academic & Pre-Professional~`,"Our mission as the Security Daemons at DePaul University is to encourage and empower students with essential cybersecurity skills and knowledge through hands-on learning experiences and workshops. We strive to create a community where diversity and all lived experiences are celebrated and heard, and all members feel included and valued. Using the principles of Vincentian personalism and professionalism, we aim to give our members the tools and knowledge they need to become ethical leaders in the cybersecurity field, contributing to a more secure and safe technological world.~`","Cybersecurity, Techonology~`",https://dehub.depaul.edu/secdaemons/club_signup~`
Serbian Cultural Club~`,General Student Organization~`,Cultural~`,"The mission of this organization is to unite students on campus of Serbian heritage through shared culture, history, language, food, music and dance. We want everyone in the organization to feel welcomed and a sense of community, as our end goal is to create unity and friendships through this organization.~`",Serbian~`,https://dehub.depaul.edu/SCC/club_signup~`
Sigma Alpha Epsilon~`,Fraternity & Sorority Life~`,Fraternity & Sorority Life~`,"Sigma Alpha Epsilon strives to advance the highest standards of friendship, scholarship, leadership and service for our members throughout life.~`",Sigma Alpha Epsilon~`,~`
Sigma Chi~`,Fraternity & Sorority Life~`,"Fraternity & Sorority Life, Cultural~`","Sigma Chi's core values are Friendship, Justice and Learning. Our vision is to become the preeminent collegiate leadership development organization – aligned, focused and living our core values. Our mission is to develop values-based leaders committed to the betterment of character, campus and community.
 
 The fundamental purpose of the Sigma Chi Fraternity is the cultivation, maintenance and promotion of the core values of Friendship, Justice and Learning.
 
 In the pursuit of these high ideals, the Sigma Chi Fraternity is able to offer tremendous value in augmenting the collegiate experience and supporting the lifelong journey of each of its members. We hope to assist brothers in becoming men of character, caring husbands, compassionate fathers and community leaders.~`",Sigma Chi~`,https://dehub.depaul.edu/sigmachi/home/~`
Sigma Gamma Rho Sorority Inc.~`,Fraternity & Sorority Life~`,Fraternity & Sorority Life~`,"It is the mission of Sigma Gamma Rho Sorority Incorporated to enhance the quality of life for women and children in the U.S., and globally through community service, civil, and social action. Our goal is to achieve greater progress in the areas of education, health awareness, and leadership development. Our members, affiliates, staff, and community partners work to create and support initiatives that align with our vision.~`",Sigma Gamma Rho~`,https://dehub.depaul.edu/SHRho/club_signup~`
Sigma Lambda Beta International Fraternity Incorporated~`,Fraternity & Sorority Life~`,"Fraternity & Sorority Life, Cultural~`","The mission of all Beta men is to nurture and further a dynamic, value-based environment which utilizes its diverse multicultural membership as a catalyst:
 
 To create and expand multicultural leadership.
 To cultivate honorable friendships.
 To advance male success in college and beyond.
 To promote culture in a positive manner.
 To exhibit standards of excellence in morality, ethics and education.
 To better serve the needs and wants of all people by disseminating the diverse culture which we all share.
 To nurture values of fairness, opportunity, and the equality of all men regardless of their race, culture, or ethnicity in society.
 To help progress our country and the world by enhancing our understanding of one another.~`",Sigma Lambda Beta~`,https://dehub.depaul.edu/DepaulBetas/club_signup~`
"Sigma Lambda Gamma National Sorority, Inc.~`",Fraternity & Sorority Life~`,"Fraternity & Sorority Life, Cultural~`","Through excellence in the organization’s five founding principles, Sigma Lambda Gamma National Sorority, Inc. provides opportunities for lifelong empowerment to its members, thereby positively influencing the global community.~`",Sigma Lambda Gamma~`,https://dehub.depaul.edu/Gammas/club_signup~`
Sigma Phi Epsilon~`,Fraternity & Sorority Life~`,Fraternity & Sorority Life~`,"SigEp is redefining fraternity on college campuses across the country. We complement a man’s education by delivering a premier student experience in one of the most formative times of his life. Through SigEp, men strengthen their character, build leadership and interpersonal skills, and learn to develop healthy, lifelong relationships that are essential to a successful and fulfilling life.
 
 SigEp was founded with the Cardinal Principles of Virtue, Diligence and Brotherly Love. Our mission is “Building Balanced Men,” which is achieved through a commitment to Sound Mind and Sound Body. We are committed to working with our host institutions as a valued partner in higher education.~`",Sigma Phi Epsilon~`,https://dehub.depaul.edu/SigEp/club_signup~`
Society for Human Resource Management - DePaul Chapter~`,General Student Organization~`,"Academic & Pre-Professional, Special Interest~`","The DePaul Chapter of the Society for Human Resource Management (SHRM) seeks to raise awareness about the human resources profession and build a professional community for HR students at DePaul. The chapter welcomes undergraduate and graduate students as members, and is devoted to supporting professional development, networking, and community building for those interested in the HR profession.~`","Human Resource Management, Business~`",https://dehub.depaul.edu/SHRM/club_signup~`
Society of Hispanic Professional Engineers~`,General Student Organization~`,"Academic & Pre-Professional, Cultural~`","SHPE at DePaul University promotes the advancement of all ethnicities, majors, and backgrounds in education, employment, and society. SHPE at DePaul University serves the DePaul Community and surrounding schools through academic workshops, community service, and student group collaboration.~`","Hispanic, Engineering~`",https://dehub.depaul.edu/SHPE/club_signup~`
Society of Women in Physics~`,Departmental Student Organization~`,Academic & Pre-Professional~`,"The purpose of SWiP is to build a supportive environment for women within the Physics Department at DePaul University. SWiP intends to engage in networking events, showing potential career paths and making valuable connections with other women in the field. In doing so, we hope to display the potential struggles and benefits of different career paths. We aim for all of our undergraduate members to attend the Conference for Undergraduate Women in Physics (CUWiP).~`",Physics~`,https://dehub.depaul.edu/SWIP/club_signup~`
Sociology Club~`,General Student Organization~`,"Academic & Pre-Professional, Special Interest~`","It is the mission of this organization to serve the student organizations of DePaul University through socially responsible leadership and the Vincentian values. We seek to facilitate student involvement, student engagement, leadership development, and positive action both on and off campus with the purpose of increasing DePaul affinity. We believe in human dignity and the power of community.~`","Sociology, Science~`",https://dehub.depaul.edu/SocClub/club_signup~`
Sound for Arts~`,General Student Organization~`,"Academic & Pre-Professional, Entertainment & Performance~`",Our university club aims to foster the growth and application of audio knowledge by facilitating networking and collaboration between individuals and innovative ideas.~`,"Arts, Audio~`",https://dehub.depaul.edu/SFX/club_signup~`
Spectrum DePaul~`,General Student Organization~`,Cultural~`,"The mission of Spectrum DePaul is to provide a safe space for students in the LGBTQIA+ community at DePaul University by providing weekly meetings during the academic year that promote socialization among students, explore the multicultural issues pertaining to the LGBTQIA+ community, and provide an outlet to engage in political and social discussion in order to heighten awareness of LGBTQIA+ issues on DePaul’s campuses and in the surrounding areas.~`","LGBTQ+, Queer~`",https://dehub.depaul.edu/spectrum/club_signup~`
Speech Language Pathology Cohort Leadership~`,General Student Organization~`,"Academic & Pre-Professional, Community Service & Engagement~`","To foster a supportive and engaged community within the cohort, promoting leadership, collaboration, and professional development among our members.~`",Speech language pathology~`,https://dehub.depaul.edu/SLPCL/club_signup~`
Spoon University~`,General Student Organization~`,"Media & Publications, Special Interest~`","It is the mission of this organization to serve the students at DePaul University as an outlet for creative culinary journalism. We strive to do this through creating a community of people who have a passion for culinary arts and writing. We seek to facilitate student engagement, campus involvement, and personal and academic growth. We believe in leadership and the power of community among our organization.~`","Culinary, Food, Journalism~`",https://dehub.depaul.edu/SpoonU/club_signup~`
Student Bar Association~`,Law Student Organization~`,Law~`,"The Student Bar Association (SBA) not only acts as the middleman between students and the administration but also as your on-campus voice. SBA consists of current law students representing each year in law school. The student leaders in SBA, in order to enhance the value of student degrees, increase University presence within the Greater Chicago community, develop professional skills and contacts, and promote the interests of the Student Body at large.~`",Law~`,https://dehub.depaul.edu/SBA/club_signup~`
Student Occupational Therapy Association~`,Graduation Student Organization~`,Graduate~`,"The Student Occupational Therapy Association (SOTA) Club at DePaul University is dedicated to the goal of preparing members to become occupational therapists that are concerned with being agents of change to address the diverse populations of the Chicagoland communities. The SOTA Club aims to provide an inclusive support network for Occupational Therapy (OT) students to have a safe space for personal growth, allow for the expansion of OT knowledge and occupational importance as well as foster professional development. We strive to recognize our responsibilities as future OTs in the areas of advocacy, action, transforming, and justice in the context of the Chicagoland communities for those who have historically been and are currently underestimated by society.~`","Occupational therapy, Science~`",https://dehub.depaul.edu/SOTA/club_signup~`
Student Opera Collective~`,Graduation Student Organization~`,"Academic & Pre-Professional, Entertainment & Performance~`","The purpose and mission of this club is to be an opportunity for students to learn more about the performance and production of opera. Giving students the ability to perform, direct, learn and grow in their performance and professional abilities~`","Opera, Singing~`",https://dehub.depaul.edu/SOC/club_signup~`
Students Against Incarceration~`,General Student Organization~`,"Activist & Political, Community Service & Engagement~`","To create an environment where people interested in fighting against issues in the criminal justice system can be in community, educate themselves and others, and take action. We are an open community and accept people with all levels of knowledge surrounding these issues.~`","Incarceration, Criminal justice~`",https://dehub.depaul.edu/SAI/club_signup~`
Students' Cooperative Organization for Philosophical Engagement~`,General Student Organization~`,Academic & Pre-Professional~`,"It is the mission of the Students' Cooperative Organization of Philosophical Engagement (SCOPE) to serve the undergraduate students of DePaul University through community efforts and mutually accountable membership. We believe in the potential and power of people and knowledge, being-together.~`",Philosophy~`,https://dehub.depaul.edu/SCOPE/club_signup~`
Students for Justice in Palestine~`,General Student Organization~`,"Activist & Political, Cultural~`","Students for Justice in Palestine (SJP) is a diverse group of students, faculty, staff, and community members, organized on democratic principles to promote justice, human rights, liberation, and self-determination for the Palestinian people. As an advocacy group, SJP is committed to a core set of principles to which it expects its members to adhere. SJP believes that while the Palestinian people must ultimately be able to decide their future in Palestine, certain key principles, grounded in international law, human rights, and basic standards of justice, will be fundamental to a just resolution of the plight of the Palestinians. These include the full decolonization of all illegally held Palestinian lands; the end of the Israeli occupation of the Gaza Strip and the West Bank; including East Jerusalem; the implementation of the right of return and repatriation for all Palestinian refugees to their original homes and properties; and an end to the Israeli system of Apartheid and discrimination against the indigenous Palestinian population. Just as SJP condemns the racism and discrimination underlying the policies and laws of the state of Israel, SJP rejects any form of hatred or discrimination against any religious, racial, or ethnic group. SJP's strength is in the great diversity of its membership. SJP welcomes individuals of all ethnic and religious backgrounds to join in solidarity with the struggle for justice in Palestine.~`",Palestine~`,https://dehub.depaul.edu/SJP/club_signup~`
Students for Socialist Revolution~`,~`,Activist & Political~`,"We, the DePaul Students for Socialist Revolution, are an organization of like-minded students who want to make a positive impact on our campus community. We believe that in order to change the world for the better, we must first understand it, and for that reason we are dedicated to the study of Marxist theory and using it to analyze history, contemporary society and even our own communities. DePaul Students for Socialist Revolution declares its intention to educate interested students in Marxist theory and increase the participation of college students in progressive causes. To this end, the DePaul Students for Socialist Revolution shall educate DePaul Students about the fundamentals, history, and application of Marxist theory, through regular meetings, public discussions, and occasional guest speakers.~`",Socialist~`,https://dehub.depaul.edu/SSR/club_signup~`
Students Supporting Israel~`,General Student Organization~`,"Activist & Political, Cultural~`","Our mission is to be a clear and confident pro-Israel voice on college campuses, and to support students in grassroots pro-Israel advocacy. SSI wants to provide students on college campuses and universities with the opportunity to support the position of Israel in the Middle East, and to reassure students who oppose the demonization of the State of Israel on campus that they are not alone. We are changing the anti-Israel climate many students encounter on campus. By being part of a united, strong and thriving international movement, students are empowered to express their views in support of Israel.~`",Israel~`,https://dehub.depaul.edu/SSI/club_signup~`
Supply Chain Management Society~`,General Student Organization~`,"Academic & Pre-Professional, Community Service & Engagement~`","The Supply Chain Management Society at DePaul University pursues the creation of a network composed of business students, faculty, alumni and Supply Chain practitioners to serve as connector between the academic and the professional worlds.
 
 SCMS intends to provide resources to students who are interested in the field of Supply Chain Management as a supplement to the program. SCMS aims to bridge relationships with business representatives on campus, provide students with career guidance, participate in Supply Chain Management events, and promote original initiatives.~`","Supply Chain Management, Business~`",https://dehub.depaul.edu/SCM/club_signup~`
SWANA Cultural Association~`,General Student Organization~`,Cultural~`,"SWANA Cultural Alliance hosted by DePaul University is comprised of a group of students of Middle Eastern and North African descent dedicated to the education of the DePaul community at large of the history, languages, and cultures of the SWANA region.~`","Middle Eastern, North African~`",https://dehub.depaul.edu/SWANACA/club_signup~`
Take Note DePaul~`,General Student Organization~`,Entertainment & Performance~`,We seek to empower women and non-binary people through music.~`,Music~`,https://dehub.depaul.edu/dwac/home/~`
Tepeyac~`,Religious & Spiritual~`,Religious & Spiritual~`,"It is the mission of this organization to serve Latinx students at DePaul University through socially responsible leadership and the Vincentian values. We seek to facilitate student involvement, engagement and leadership development through our programming based on the pillars of faith, culture, and service.~`",Latinx~`,https://dehub.depaul.edu/Tepeyac/club_signup~`
The 50/50 Club: A WIA Student Club~`,General Student Organization~`,"Academic & Pre-Professional, Media & Publications~`","The 50/50 Club: A WIA Student Club strives to uplift and advocate for students of underrepresented gender identities in all aspects of animation at DePaul University.
 
 The 50/50 Club: A WIA Student Club advocates for and is committed to realizing Women in Animation's (WIA) 50/50 by 2025 Pledge, a pledge that calls for people of underrepresented gender identities to hold 50% of the creative roles in the animation industry by 2025.~`","Animation, Women in Animation, Technology~`",https://dehub.depaul.edu/5050/club_signup~`
The Ad Society~`,General Student Organization~`,Academic & Pre-Professional~`,"The Ad Society brings together students who share a passion for advertising. We expose DePaul students to the latest developments and trends in the advertising industry through a mix of real world creative projects, guest speakers, networking sessions, visits to agencies, and social events.​~`","Advertising, Business, Communications~`",https://dehub.depaul.edu/TAS/club_signup~`
The Buzz Hub~`,General Student Organization~`,Media & Publications~`,Giving students the resources they need to advertise their goods and services to the DePaul community.~`,"Advertising, Business, Communications~`",https://dehub.depaul.edu/TBH/club_signup~`
The Cities Project~`,General Student Organization~`,"Community Service & Engagement, Special Interest~`","The Cities Mentor Project is a collaboration between Chicago universities and Chicago Public Schools. Our mission is to eliminate inequality through education, mentorship and essential social emotional supports. We connect university mentors with public school mentees so that both groups can learn about inequality, the stress that it causes and what we can do to make things better for ourselves and for our city.
 We support students learning research-based strategies for:
 1. Growing from stress
 2. Reaching personal and collective goals
 3. Connecting meaningfully with others
 4. Changing the world through activism~`","Education, Mentorship~`",https://dehub.depaul.edu/DCP/club_signup~`
Jewish Law Student Association (DePaul Decalogue Society of Lawyers)~`,Law Student Organization~`,Law~`,"The missions of the Decalogue Society of Lawyers are to:
 1. Act to address special problems and opportunities facing our members as attorney and Jews.
 2. Address problems and opportunities to benefit the Jewish community, legal community, and public.
 3. Foster the traditions and ideals of American democracy and to express support for the State of Israel.
 4. Maintain vigilance against public and private practices which are anti-social, discriminatory, anti-Semitic or oppressive and join with other groups and minorities to protect legal rights and privileges.
 5. Raise the standards of the bar and the bench and educate the public to better understand and appreciate the function and status of the lawyer and judge in a free society.
 6. Foster friendly relations, networking, and goodwill among our members, and between our members and other attorneys, bar associations, the courts, and the public.~`","Jewish, Law~`",https://dehub.depaul.edu/JLSA/club_signup~`
The DePaul Pre-Dental Association~`,General Student Organization~`,Academic & Pre-Professional~`,"To foster a community of DePaul students interested in the dental field that will motivate one another, and engage in community based efforts to better the oral health of our community.~`","Pre-dental, Dental~`",https://dehub.depaul.edu/DPDC/club_signup~`
The DePaulia~`,Departmental~`,"Community Service & Engagement, Special Interest~`",The DePaulia is the award-winning independent student newspaper of DePaul University. The DePaulia is published and distributed to DePaul campuses on Mondays throughout the school year and run year-round at depauliaonline.com.~`,"Newspaper, Journalism~`",https://dehub.depaul.edu/DPNews/club_signup~`
The Federalist Society~`,Law Student Organization~`,Law~`,"The Society is founded on the principles that the state exists to preserve freedom, that the separation of governmental powers is central to our Constitution, and that it is emphatically the province and duty of the judiciary to say what the law is, not what it should be.~`","Constitution, Law~`",https://dehub.depaul.edu/FedSoc/club_signup~`
The Fullertones a Cappella~`,General Student Organization~`,Entertainment & Performance~`,"The Fullertones provides a unique opportunity for students to participate in a singing group, and also aims to expand the opportunities for students to be involved in campus activities and events.~`","A Cappella, Music~`",https://dehub.depaul.edu/Fullertones/club_signup~`
The Jackson Initiative~`,General Student Organization~`,"Academic & Pre-Professional, Special Interest~`","Our mission is to provide guidance and mentorship to underclassmen, preparing them for successful roles in investment banking.~`","Investment banking, Finance, Business~`",https://dehub.depaul.edu/TJI/club_signup~`
The Society for Asylum and Immigration Law~`,Law Student Organization~`,Law~`,"The purpose of the Society for Asylum and Immigration Law shall be to provide its members with a common forum for addressing asylum and immigration law issues and to facilitate interaction with established attorneys, officials, and experts in the field. Furthermore, the aims of this organization shall be to promote multiculturalism, to enable its members to develop a global outlook in relation to the distinct factors affecting asylum and immigration, and to provide its members with an enriched understanding of contemporary asylum and immigration practice. SAIL shall accept and encourage an exchange of ideas between different points of view in an effort to create a more complete and educated dialogue.~`","Asylum law, Immigration law, Law~`",https://dehub.depaul.edu/SAIL/club_signup~`
Tutti Insieme~`,General Student Organization~`,Special Interest~`,Tutti Insieme's mission is to acquaint students with the Italian language and culture while being consistent and compatible with the Vincentian mission in our activities.~`,Italian~`,https://dehub.depaul.edu/tuttiinsieme/club_signup~`
Ukrainian-American Cultural Association~`,General Student Organization~`,"Activist & Political, Cultural~`","The Ukrainian-American Cultural Association of DePaul University is dedicated to fostering a vibrant and inclusive community that celebrates and promotes the rich tapestry of Ukrainian culture. Our mission is to create a welcoming environment where students can explore, appreciate, and engage with Ukrainian traditions, history, and heritage. Through a variety of cultural events, educational initiatives, and collaborative efforts, we aim to enhance cultural awareness, strengthen cross-cultural ties, and empower students to become global citizens with a deep appreciation for Ukraine.~`",Ukrainian~`,https://dehub.depaul.edu/UACA/club_signup~`
United Muslims Moving Ahead~`,Religious & Spiritual~`,Religious & Spiritual~`,"DePaul UMMA (United Muslims Moving Ahead) is a service-oriented Islamic student organization whose purpose is to promote knowledge and spiritual growth and enrich the Muslim student life experience. We seek to serve God and His creation through embodying the ideals of the Quran and the tradition of the Prophet Muhammad (peace be upon him). We strive to create a welcoming and nurturing community for all Muslim students and their supporters through worship, education, service, and social events.~`",Muslim~`,https://dehub.depaul.edu/UMMA/club_signup~`
Upsilon Pi Epsilon~`,General Student Organization~`,"Academic & Pre-Professional, Honorary~`",The mission of UPE is to recognize academic excellence at both the undergraduate and graduate levels in the Computing and Information Disciplines. (https://upe.cdm.depaul.edu)~`,Computer Science~`,https://dehub.depaul.edu/DEPAULUPE/club_signup~`
Vietnamese Student Association (VSA)~`,General Student Organization~`,Cultural~`,"The Vietnamese Club at DePaul University seeks to promote a deeper understanding, appreciation, and celebration of Vietnamese culture among participants and the larger university community. To do so, our club has a threefold mission:
 Cultural celebration: to honor and celebrate Vietnam’s rich heritage through culturally oriented events, festivals, and traditional holidays. We seek to provide an avenue for students of Vietnamese descent, and others interested in Vietnamese culture, to come together and express their cultural identity in a way that fosters pride and continuity of the culture.
 Education: To enhance the academic and social experience of our participants, we offer Vietnamese language classes and workshops, as well as information on other aspects of Vietnamese culture, including history, art, and food. We will also discuss relevant modern-day topics, promoting academic achievement and cultural competence, by expanding the global mindset of student members
 Wellness and Mental Health Resources: Provide resources and workshops on mental health, stress management, and self-care, with a focus on addressing the unique challenges international students might face, especially Vietnamese students. Partnering with campus wellness centers to ensure international students have access to culturally sensitive support services is key.~`","Vietnam, Asian~`",https://dehub.depaul.edu/VSA/club_signup~`
Water Polo~`,Club Sports~`,Club Sports~`,"To promote and provide an opportunity to any student at DePaul either experienced or not, to play water polo. We are committed to provide the best experience to all group members by helping them learn, grow, and become the better player they want to become while keeping the overall task, to have fun!~`",Water polo~`,https://dehub.depaul.edu/Dewopo/club_signup~`
Women of Color Pre-Law Association~`,General Student Organization~`,"Academic & Pre-Professional, Cultural~`","WOCA's mission is to empower women of color interested in the legal field and or law school. Through various informational and social functions, we promote cultural, political, and social awareness, educate students about the law school application process, and foster a supportive community between women of color on their pre-professional journeys.~`","Women of color, Law~`",https://dehub.depaul.edu/WOCA/club_signup~`
Women's and Non-Binary Ultimate Frisbee~`,Club Sports~`,Club Sports~`,"Our mission is to provide an opportunity for all women, trans, non-binary, and gender-nonconforming people to play and learn the sport of ultimate frisbee in a spirited and competitive environment. We welcome players of all skill levels and backgrounds to join.~`",Ultimate Frisbee~`,https://dehub.depaul.edu/LaserChains/club_signup~`
Women's Bar Association~`,Law Student Organization~`,Law~`,"The DePaul Women's Bar Association promises to strive to meet our own goals and the goals of the Women's Bar Association of Illinois. We will work to advance women's interests in the local community. We will also sponsor events for area law students, professors and practitioners to attend. We will strive to enhance DePaul's image by promoting women's issues and progress within the field of law. We will also work to serve the community through service and involvement.~`","Bar association, Law~`",https://dehub.depaul.edu/WBA/club_signup~`
Zinester~`,General Student Organization~`,"Media & Publications, Special Interest~`","Zinester's mission is to educate about zines on campus and provide time, space, and materials to make zines. Zinester strives to support creativity, community, and connection on campus through the love of zines and zine making.~`",Zines~`,https://dehub.depaul.edu/zineclub/club_signup~`
Student Organization of Afghanistan at DePaul~`,General Student Organization~`,"Activist & Political, Cultural~`","The mission of the Student Organization of Afghanistan at DePaul (SOAD) is to serve as a source to celebrate Afghanistan's culture, bring communities and unity together through small gatherings, and organize cultural-religious events to exchange ideas, support our communities, create networks and spread awareness about women’s struggles in Afghanistan.~`","Afghanistan, Afghan~`",https://dehub.depaul.edu/SOAD/club_signup~`
Medical Sciences Journal Club~`,General Student Organization~`,Academic & Pre-Professional~`,"The Medical Sciences Journal Club at DePaul University is rooted in the spirit of inquiry and service, embodying the Vincentian mission and the core values of our institution. We are dedicated to fostering a rigorous and intellectually stimulating environment for the exploration and critical analysis of published medical research. Our mission is to empower students who are passionate about medical sciences with the skills to dissect, comprehend, and engage in insightful discussions about cutting-edge research papers. Through comprehensive paper presentations, detailed analyses, and lively debates, we aim to cultivate a community of inquisitive minds.~`","Medical, Research~`",https://dehub.depaul.edu/MSJC/club_signup~`
Design Club at Depaul~`,General Student Organization~`,Academic & Pre-Professional~`,"It is the mission of this organization to foster a creative and inclusive community for DePaul students interested in design. We aim to provide opportunities for professional development and networking within the design industry, encourage collaboration and knowledge sharing among members and promote design awareness on campus and in the Chicago community. We do this by upholding Vincentian values of service, emphasizing the importance of using design to give back to the community and address social issues through innovative design solutions.~`","Design, Research~`",https://dehub.depaul.edu/DCD/club_signup~`
Cultivating Leadership and Economic Opportunities~`,General Student Organization~`,Academic & Pre-Professional~`,"CLEO (Cultivating Leadership in Economics and Opportunities) is dedicated to empowering women in the field of economics. Our mission is to:
 
 -Foster a vibrant community of women who are passionate about economics or interested in exploring the field further
 -Create a safe and inclusive environment where female students can freely discuss their experiences, challenges, and aspirations without feeling overshadowed or outnumbered
 -Provide leadership development and networking opportunities
 -Offer resources and guidance for academic and career advancement
 -Showcase the diverse career paths available with an economics degree
 
 We welcome all women, from economics majors to those simply curious about the field, to join our growing network of ambitious individuals shaping the future of economics.~`","Economics, Leadership~`",https://dehub.depaul.edu/CLEO/club_signup~`
Turkish Student Association DePaul~`,General Student Organization~`,Cultural~`,Create a community space to celebrate Turkish culture with the DePaul student body.~`,Turkiye~`,https://dehub.depaul.edu/TSAD/club_signup~`
Assyrian Student Association at DePaul~`,General Student Organization~`,"Cultural, Community Service & Engagement~`","The Assyrian Student Association at DePaul University is dedicated to preserving, promoting, and celebrating the Assyrian culture. Our mission is to create a welcoming community that fosters cultural awareness and unity among Assyrians and individuals interested in Assyrian culture. Through various events, activities, and initiatives we strive to showcase our vibrant history, language, music, and traditions. We are committed to preserving our cultural identity and strengthening the sense of belonging of Assyrians at DePaul. Through engaging in cultural activities, we offer valuable learning experiences that can broaden knowledge. By immersing ourselves in our rich cultural heritage, we not only deepen our appreciation for our roots but also enrich our academic pursuits.~`",Assyrian~`,https://dehub.depaul.edu/ASADP/club_signup~`
DePaul's RoboTech Society~`,General Student Organization~`,Academic & Pre-Professional~`,"The purpose of the RoboTech Society is to explore innovative robotics projects and advance research in the field while fostering a collaborative and engaging environment for students of all skill levels. We aim to serve a diverse community of students interested in robotics, computer science, engineering, and technology, providing them with opportunities for hands-on learning and interdisciplinary collaboration. Our core values of creativity, innovation, teamwork, and inclusivity align with DePaul University's mission of fostering a diverse learning community and promoting social responsibility, ensuring that all members feel valued and empowered to contribute to the advancement of robotics and technology.~`","Technology, Robotics~`",https://dehub.depaul.edu/RoboTech/club_signup~`
BridgeDePaul~`,General Student Organization~`,"Activist & Political, Community Service & Engagement~`","It is the mission of BridgeDePaul to serve the students of DePaul University by fostering a multi-partisan community where students engage in empathetic, constructive dialogue across diverse perspectives.~`",Politics~`,https://dehub.depaul.edu/BDU/club_signup~`
DePaul Rocket League~`,General Student Organization~`,"Entertainment & Performance, Esports & Gaming~`",The mission of DePaul Rocket League is to give a platform for DePaul students to compete in Collegiate and recreational Rocket League.~`,"esports, Video Games~`",https://dehub.depaul.edu/DPURL/club_signup~`
